name,time,Tag,Val
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7772.3613
TagDataAV,1.78741E+18,A.re_zhi,7772.3613
TagDataAV,1.78741E+18,A.re_zhi,7772.3613
TagDataAV,1.78741E+18,A.re_zhi,7754.2017
TagDataAV,1.78741E+18,A.re_zhi,7754.2017
TagDataAV,1.78741E+18,A.re_zhi,7754.2017
TagDataAV,1.78741E+18,A.re_zhi,7754.2017
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7760.255
TagDataAV,1.78741E+18,A.re_zhi,7772.3613
TagDataAV,1.78741E+18,A.re_zhi,7772.3613
TagDataAV,1.78741E+18,A.re_zhi,7772.3613
TagDataAV,1.78741E+18,A.re_zhi,7772.3613
TagDataAV,1.78741E+18,A.re_zhi,7772.3613
TagDataAV,1.78741E+18,A.re_zhi,7772.3613
TagDataAV,1.78741E+18,A.re_zhi,7772.3613
TagDataAV,1.78741E+18,A.re_zhi,7772.3613
TagDataAV,1.78741E+18,A.re_zhi,7772.3613
TagDataAV,1.78741E+18,A.re_zhi,7772.3613
TagDataAV,1.78741E+18,A.re_zhi,7772.3613
TagDataAV,1.78741E+18,A.re_zhi,7772.3613
TagDataAV,1.78741E+18,A.re_zhi,7772.3613
TagDataAV,1.78741E+18,A.re_zhi,7772.3613
TagDataAV,1.78741E+18,A.re_zhi,7778.4146
TagDataAV,1.78741E+18,A.re_zhi,7778.4146
TagDataAV,1.78741E+18,A.re_zhi,7778.4146
TagDataAV,1.78741E+18,A.re_zhi,7778.4146
TagDataAV,1.78741E+18,A.re_zhi,7820.787
TagDataAV,1.78741E+18,A.re_zhi,7814.734
TagDataAV,1.78741E+18,A.re_zhi,7814.734
TagDataAV,1.78741E+18,A.re_zhi,7814.734
TagDataAV,1.78741E+18,A.re_zhi,7814.734
TagDataAV,1.78741E+18,A.re_zhi,7863.1597
TagDataAV,1.78741E+18,A.re_zhi,7869.213
TagDataAV,1.78741E+18,A.re_zhi,7863.1597
TagDataAV,1.78741E+18,A.re_zhi,7863.1597
TagDataAV,1.78741E+18,A.re_zhi,7863.1597
TagDataAV,1.78741E+18,A.re_zhi,7893.426
TagDataAV,1.78741E+18,A.re_zhi,7893.426
TagDataAV,1.78741E+18,A.re_zhi,7893.426
